Gender,ApplicantIncome,LoanAmount,Loan_Status
Male,4583,128,0
Male,3000,66,1
Male,2583,120,1
Male,6000,141,1
Male,5417,267,1
Male,2333,95,0
Male,3036,158,0
Male,4006,168,1
Male,12841,349,0
Male,3200,70,1
Male,2500,109,1
Male,3073,200,1
Male,1853,114,0
Male,1299,17,1
Male,4950,125,1
Male,3596,100,1
Female,3510,76,0
Male,4887,133,0
Male,2600,115,1
Male,7660,104,0
Male,5955,315,1
Male,2600,116,0
Male,3717,151,0
Male,9560,191,1
Male,2799,122,1
Male,4226,110,1
Male,1442,35,0
Female,3750,120,1
Male,4166,201,0
Male,3167,74,0
Male,4692,106,0
Male,3500,114,1
Male,12500,320,0
Male,1828,100,0
Female,3667,144,1
Male,4166,184,1
Male,3748,110,1
Male,3600,80,0
Male,1800,47,1
Male,2400,75,1
Male,3941,134,1
Male,4695,96,1
Female,3410,88,1
Male,5649,44,1
Male,5821,144,1
Female,2645,120,0
Female,4000,144,1
Female,1928,100,1
Female,3086,120,1
Female,4230,112,0
Male,4616,134,0
Female,11500,286,0
Male,2708,97,1
Male,2132,96,1
Male,3366,135,0
Male,8080,180,1
Male,3357,144,1
Male,2500,120,1
Male,3029,99,1
Male,2609,165,0
Female,4166,116,0
Male,5726,258,0
Male,3200,126,0
Male,10750,312,1
Male,7100,125,1
Female,4300,136,0
Male,3208,172,1
Male,1875,97,1
Male,3500,81,1
Male,4755,95,0
Male,5266,187,1
Male,3750,113,0
Male,3750,176,0
Male,1000,110,0
Male,3167,180,0
Male,3333,130,1
Female,3846,111,1
Female,1378,167,0
Male,6000,265,0
Male,3988,50,1
Male,2366,136,1
Male,3333,99,1
Male,2500,104,1
Male,8566,210,1
Male,5695,175,1
Male,2958,131,1
Male,6250,188,1
Male,3273,81,1
Male,4133,122,1
Male,3620,25,1
Female,2484,137,1
Male,1977,50,1
Male,4188,115,1
Male,1759,131,1
Male,4288,133,1
Male,4843,151,1
Male,3816,160,1
Male,3052,100,1
Male,11417,225,1
Male,7333,120,0
Male,3800,216,0
Male,2071,94,1
Male,5316,136,1
Female,2929,139,1
Male,3572,152,0
Male,5050,118,1
Male,14583,185,1
Female,3167,154,1
Male,2214,85,1
Male,5568,175,0
Female,10408,259,1
Male,5667,180,1
Female,4166,44,1
Female,2137,137,1
Male,2957,81,1
Male,4300,194,1
Female,3692,93,1
Male,10513,160,0
Male,6080,182,0
Male,20166,650,1
Male,2014,74,1
Male,2718,70,1
